source,domain,scenario_name,density_pct,policy,metric,mean,ci_low,ci_high,ci_width,interval_collapsed,n_seeds
yellow_density_sweep,green,dispatch_density_d100,100,coldstart,mean_matched_riders_per_driver,0.86,0.86,0.86,0.0,True,5
yellow_density_sweep,green,dispatch_density_d100,100,coldstart,mean_eval_time_s,0.0173,0.0173,0.0173,0.0,True,5
yellow_density_sweep,green,dispatch_density_d100,100,coldstart,mean_batch_runtime_s,0.0368999999999999,0.0368999999999999,0.0368999999999999,0.0,True,5
yellow_density_sweep,green,dispatch_density_d100,100,heuristic_feasible_count,profit_per_launched_driver,-0.55,-0.55,-0.55,0.0,True,5
yellow_density_sweep,green,dispatch_density_d100,100,heuristic_feasible_count,served_riders,1010.0,1010.0,1010.0,0.0,True,5
yellow_density_sweep,green,dispatch_density_d100,100,heuristic_feasible_count,rider_service_rate,0.25,0.25,0.25,0.0,True,5
yellow_density_sweep,green,dispatch_density_d100,100,heuristic_feasible_count,mean_wait_min,1.82,1.82,1.82,0.0,True,5
yellow_density_sweep,green,dispatch_density_d100,100,heuristic_feasible_count,mean_matched_riders_per_driver,1.01,1.01,1.01,0.0,True,5
yellow_density_sweep,green,dispatch_density_d100,100,heuristic_feasible_count,mean_eval_time_s,0.0173,0.0173,0.0173,0.0,True,5
yellow_density_sweep,green,dispatch_density_d100,100,heuristic_feasible_count,mean_batch_runtime_s,0.0368999999999999,0.0368999999999999,0.0368999999999999,0.0,True,5
yellow_density_sweep,green,dispatch_density_d100,100,warmup,profit_per_launched_driver,-0.41,-0.41,-0.41,0.0,True,5
yellow_density_sweep,green,dispatch_density_d100,100,warmup,served_riders,970.0,970.0,970.0,0.0,True,5
yellow_density_sweep,green,dispatch_density_d100,100,warmup,rider_service_rate,0.24,0.24,0.24,0.0,True,5
yellow_density_sweep,green,dispatch_density_d100,100,warmup,mean_wait_min,1.79,1.79,1.79,0.0,True,5
yellow_density_sweep,green,dispatch_density_d100,100,warmup,mean_matched_riders_per_driver,0.97,0.97,0.97,0.0,True,5
yellow_density_sweep,green,dispatch_density_d100,100,warmup,mean_eval_time_s,0.0173,0.0173,0.0173,0.0,True,5
yellow_density_sweep,green,dispatch_density_d100,100,warmup,mean_batch_runtime_s,0.0368999999999999,0.0368999999999999,0.0368999999999999,0.0,True,5
yellow_density_sweep,green,dispatch_density_d100,100,oracle,profit_per_launched_driver,-0.2,-0.2,-0.2,0.0,True,5
yellow_density_sweep,green,dispatch_density_d100,100,oracle,served_riders,1060.0,1060.0,1060.0,0.0,True,5
yellow_density_sweep,green,dispatch_density_d100,100,oracle,rider_service_rate,0.26,0.26,0.26,0.0,True,5
yellow_density_sweep,green,dispatch_density_d100,100,oracle,mean_wait_min,1.8,1.8,1.8,0.0,True,5
yellow_density_sweep,green,dispatch_density_d100,100,oracle,mean_matched_riders_per_driver,1.06,1.06,1.06,0.0,True,5
yellow_density_sweep,green,dispatch_density_d100,100,oracle,mean_eval_time_s,0.0173,0.0173,0.0173,0.0,True,5
yellow_density_sweep,green,dispatch_density_d100,100,oracle,mean_batch_runtime_s,0.0368999999999999,0.0368999999999999,0.0368999999999999,0.0,True,5
yellow_density_sweep,green,dispatch_density_d25,25,coldstart,profit_per_launched_driver,-6.52,-6.52,-6.52,0.0,True,5
yellow_density_sweep,green,dispatch_density_d25,25,coldstart,served_riders,220.0,220.0,220.0,0.0,True,5
yellow_density_sweep,green,dispatch_density_d25,25,coldstart,rider_service_rate,0.05,0.05,0.05,0.0,True,5
yellow_density_sweep,green,dispatch_density_d25,25,coldstart,mean_wait_min,1.96,1.96,1.96,0.0,True,5
yellow_density_sweep,green,dispatch_density_d25,25,coldstart,mean_matched_riders_per_driver,0.22,0.22,0.22,0.0,True,5
yellow_density_sweep,green,dispatch_density_d25,25,coldstart,mean_eval_time_s,0.0173,0.0173,0.0173,0.0,True,5
yellow_density_sweep,green,dispatch_density_d25,25,coldstart,mean_batch_runtime_s,0.0368999999999999,0.0368999999999999,0.0368999999999999,0.0,True,5
yellow_density_sweep,green,dispatch_density_d25,25,heuristic_feasible_count,profit_per_launched_driver,-5.88,-5.88,-5.88,0.0,True,5
yellow_density_sweep,green,dispatch_density_d25,25,heuristic_feasible_count,served_riders,340.0,340.0,340.0,0.0,True,5
yellow_density_sweep,green,dispatch_density_d25,25,heuristic_feasible_count,rider_service_rate,0.08,0.08,0.08,0.0,True,5
yellow_density_sweep,green,dispatch_density_d25,25,heuristic_feasible_count,mean_wait_min,2.1,2.1,2.1,0.0,True,5
yellow_density_sweep,green,dispatch_density_d25,25,heuristic_feasible_count,mean_matched_riders_per_driver,0.34,0.34,0.34,0.0,True,5
yellow_density_sweep,green,dispatch_density_d25,25,heuristic_feasible_count,mean_eval_time_s,0.0173,0.0173,0.0173,0.0,True,5
yellow_density_sweep,green,dispatch_density_d25,25,heuristic_feasible_count,mean_batch_runtime_s,0.0368999999999999,0.0368999999999999,0.0368999999999999,0.0,True,5
yellow_density_sweep,green,dispatch_density_d25,25,warmup,profit_per_launched_driver,-5.61,-5.61,-5.61,0.0,True,5
yellow_density_sweep,green,dispatch_density_d25,25,warmup,served_riders,330.0,330.0,330.0,0.0,True,5
yellow_density_sweep,green,dispatch_density_d25,25,warmup,rider_service_rate,0.08,0.08,0.08,0.0,True,5
yellow_density_sweep,green,dispatch_density_d25,25,warmup,mean_wait_min,2.08,2.08,2.08,0.0,True,5
